3.710,3.718,1
4.140,0.430,1
4.570,0.430,1
4.940,0.430,1
5.380,0.430,1
5.740,0.430,1
6.140,0.430,2
10.15,0.43,1
10.59,0.43,1
11.02,0.43,1
11.43,0.43,1
11.83,0.43,1
12.19,0.43,1
12.62,0.43,2
16.70,0.82,1
17.10,0.40,1
17.50,0.40,1
17.88,0.40,1
18.32,0.40,1
18.57,0.28,1
18.88,0.28,2
23.12,1.01,1
23.50,0.40,1
23.95,0.40,1
24.35,0.40,1
24.74,0.40,1
25.02,0.28,1
25.38,0.28,2
29.55,1.01,1
29.97,0.42,1
30.59,0.62,1
30.81,0.22,1
31.39,0.60,1
31.59,0.20,1
31.74,0.15,2
36.02,1.08,1
36.42,0.40,1
36.85,0.43,1
37.22,0.37,1
37.69,0.47,1
37.89,0.20,1
38.21,0.32,2
42.37,0.97,1
42.67,0.30,1
43.44,0.77,1
43.67,0.23,1
44.26,0.59,1
44.65,0.40,1
45.06,0.40,2
48.85,0.63,1
49.23,0.38,1
49.84,0.61,1
50.04,0.20,1
50.56,0.52,1
50.93,0.37,1
51.32,0.39,2
55.33,0.83,1
55.61,0.28,1
55.95,0.34,1
56.14,0.19,1
56.89,0.75,1
57.18,0.29,1
57.48,0.30,2
61.65,0.92,1
61.97,0.32,1
62.39,0.42,1
62.60,0.21,1
63.35,0.75,1
63.64,0.29,1
63.93,0.29,1
