Built to Scale
5.39,1.0,1
6.65,1.1,2
7.84,1.1,1
9.11,1.1,2
10.32,1.1,1
11.49,1.1,2
12.79,2,3
15.16,0.9,1
16.36,1.0,2
17.47,1.0,1
18.66,1.0,2
19.81,1.0,1
20.91,1.0,2
22.12,1.0,3
24.29,0.9,1
25.39,1.0,2
26.45,1.0,1
27.51,1.0,2
28.63,1.0,1
29.67,1.0,2
30.8,1.0,3
32.54,0.9,1
33.63,1.0,2
34.48,1.0,1
35.42,1.0,2
36.33,1.0,1
37.24,1.0,2
38.13,1.0,3
40.28,0.9,1
41.54,1.1,2
42.74,1.1,1
43.97,1.1,2
45.19,1.1,1
46.36,1.1,2
47.6,1.5,3
50.72,0.9,1
52.51,0.9,2
54.52,0.9,1
55.68,0.9,2
56.61,0.9,1
58.53,0.9,2
60.56,0.9,1
61.49,1.1,2
62.65,1.1,3
65.1,1.1,1
65.92,1.1,2
66.82,1.1,1
67.75,1.1,2
68.61,1.1,1
69.48,1.1,2
70.44,1.1,1
71.32,0.5,3
72.16,1.1,2
72.92,1.1,1
73.64,1.1,2
74.4,1.1,1
75.15,1.1,2
75.81,1.1,1
76.62,1.1,3
