Tambourine
3.71,1
4.14,2
4.57,1
4.94,2
5.38,1
5.74,2
6.14,3
6.57,8
7.00,9
7.43,8
7.86,9
8.29,8
8.72,9
9.15,8
10.15,2
10.59,1
11.02,2
11.43,1
11.83,2
12.19,1
12.62,4
13.05,9
13.48,8
13.91,9
14.34,8
14.77,9
15.20,8
15.63,9
16.70,1
17.10,2
17.50,1
17.88,2
18.32,1
18.57,2
18.88,3
19.70,8
20.10,9
20.50,8
20.90,9
21.30,8
21.58,9
21.86,8
23.12,2
23.50,1
23.95,2
24.35,1
24.74,2
25.02,1
25.38,4
26.39,9
26.79,8
27.19,9
27.59,8
27.99,9
28.27,8
28.55,9
29.55,1
29.97,2
30.59,1
30.81,2
31.39,1
31.59,2
31.74,3
32.75,8
33.17,9
33.79,8
34.01,9
34.61,8
34.81,9
34.96,8
36.02,2
36.42,1
36.85,2
37.22,1
37.69,2
37.89,1
38.21,4
39.29,9
39.69,8
40.12,9
40.49,8
40.96,9
41.16,8
41.48,9
42.37,1
42.67,2
43.44,1
43.67,2
44.26,1
44.65,2
45.06,3
46.03,8
46.33,9
47.10,8
47.33,9
47.92,8
48.32,9
48.72,8
48.85,2
49.23,1
49.84,2
50.04,1
50.56,2
50.93,1
51.32,4
51.95,9
52.33,8
52.94,9
53.14,8
53.66,9
54.03,8
54.42,9
55.33,1
55.61,2
55.95,1
56.14,2
56.89,1
57.18,2
57.48,3
58.31,8
58.59,9
58.93,8
59.12,9
59.87,8
60.16,9
60.46,8
61.65,2
61.97,1
62.39,2
62.61,1
63.35,2
63.64,1
63.93,4
64.85,9
65.17,8
65.59,9
65.81,8
66.55,9
66.84,8
67.13,9
