Tambourine
3.71,1
4.14,1
4.57,1
4.94,1
5.38,1
5.74,1
6.14,2
6.57,0
7.00,0
7.43,0
7.86,0
8.29,0
8.72,0
9.15,0
10.15,1
10.59,1
11.02,1
11.43,1
11.83,1
12.19,1
12.62,2
13.05,0
13.48,0
13.91,0
14.34,0
14.77,0
15.20,0
15.63,0
16.70,1
17.10,1
17.50,1
17.88,1
18.32,3
18.57,3
18.88,4
19.70,0
20.10,0
20.50,0
20.90,0
21.30,0
21.58,0
21.86,0
23.12,1
23.50,1
23.95,1
24.35,1
24.74,1
25.02,1
25.38,2
26.39,0
26.79,0
27.19,0
27.59,0
27.99,0
28.27,0
28.55,0
29.55,1
29.97,1
30.59,1
30.81,1
31.39,1
31.59,1
31.74,2
32.75,0
33.17,0
33.79,0
34.01,0
34.61,0
34.81,0
34.96,0
36.02,1
36.42,1
36.85,1
37.22,1
37.69,1
37.89,1
38.21,2
39.29,0
39.69,0
40.12,0
40.49,0
40.96,0
41.16,0
41.48,0
42.37,1
42.67,1
43.44,1
43.67,1
44.26,1
44.65,1
45.06,2
46.03,0
46.33,0
47.10,0
47.33,0
47.92,0
48.32,0
48.72,0
48.85,1
49.23,1
49.84,1
50.04,1
50.56,1
50.93,1
51.32,2
51.95,0
52.33,0
52.94,0
53.14,0
53.66,0
54.03,0
54.42,0
55.33,1
55.61,1
55.95,1
56.14,1
56.89,1
57.18,1
57.48,2
58.31,0
58.59,0
58.93,0
59.12,0
59.87,0
60.16,0
60.46,0
61.65,1
61.97,1
62.39,1
62.61,1
63.35,1
63.64,1
63.93,2
64.85,0
65.17,0
65.59,0
65.81,0
66.55,0
66.84,0
67.13,0
